,Year-Month,BOOK,EBOOK,SOUNDDISC,VIDEODISC,AUDIOBOOK,Other
0,2005-04-01,143053,0,37432,32157,0,40021
1,2005-05-01,227864,0,58138,53305,0,62088
2,2005-06-01,287908,0,70580,67821,0,76130
3,2005-07-01,195018,0,49752,48457,0,50441
4,2005-08-01,210033,0,55664,53192,0,54818
5,2005-09-01,252177,335,67717,65198,568,63339
6,2005-10-01,280329,338,75919,70866,714,68006
7,2005-11-01,279989,345,78213,75570,666,70084
8,2005-12-01,248798,304,78154,79258,689,67237
9,2006-01-01,288798,468,83213,82654,780,70237
10,2006-02-01,262637,453,77406,75519,741,61900
11,2006-03-01,305543,454,91744,100805,782,70397
12,2006-04-01,263329,415,82079,110495,770,58368
13,2006-05-01,247858,412,79755,125928,699,51339
14,2006-06-01,272417,409,83681,132783,664,53758
15,2006-07-01,306139,492,90234,145539,740,56076
16,2006-08-01,312622,499,99484,157441,803,57316
17,2006-09-01,289265,515,95301,147307,729,50151
18,2006-10-01,290273,555,96280,151578,931,49459
19,2006-11-01,285991,597,93251,136174,1092,49765
20,2006-12-01,245277,559,84022,117362,1161,44648
21,2007-01-01,296297,644,94673,123251,1385,49904
22,2007-02-01,275001,668,88255,111348,1298,44913
23,2007-03-01,310392,748,105319,138149,1517,48695
24,2007-04-01,295068,798,100909,135147,1571,44336
25,2007-05-01,297899,760,103003,141052,1503,42243
26,2007-06-01,318033,742,102345,141624,1524,43803
27,2007-07-01,320497,755,101445,140532,1662,42085
28,2007-08-01,326884,768,107963,154282,1777,43492
29,2007-09-01,300382,733,97973,145090,1834,36917
30,2007-10-01,322620,761,109383,161191,1905,37797
31,2007-11-01,312114,793,108014,161108,1859,36597
32,2007-12-01,276084,728,105573,165083,1977,33152
33,2008-01-01,343384,950,121734,184719,2180,37853
34,2008-02-01,315806,945,113856,174406,2118,34476
35,2008-03-01,291710,1182,103732,164915,2419,30460
36,2008-04-01,341452,1184,123402,201996,2650,33681
37,2008-05-01,328072,1160,116897,200261,2692,30388
38,2008-06-01,356621,1395,120262,210801,2847,30561
39,2008-07-01,388959,1248,126341,229919,2895,31294
40,2008-08-01,363506,1455,127864,232125,3129,28353
41,2008-09-01,353561,1517,121205,222422,3076,25875
42,2008-10-01,354779,1504,120128,217162,3216,25524
43,2008-11-01,359687,1532,123951,223208,3495,25056
